state,state_code,dayspostlegal,distance,income,legal,month,ppg,quality_score,quantity,year
Colorado,8,-23,2337.2581,46402,0,10,7.0547924,3,7.087380900000001,2012
Colorado,8,-110,2230.3601,46402,0,7,2.0042023999999996,3,4.9895163,2012
Colorado,8,-48,2443.0171,46402,0,9,10.021011,2,4.9895163,2012
Colorado,8,-132,2343.937,46402,0,6,10.582189,3,28.349524,2012
Colorado,8,-108,2343.937,46402,0,7,5.996573400000001,3,28.349524,2012
Colorado,8,-16,1751.839,46402,0,10,6.1729430999999995,3,28.349524,2012
Colorado,8,-17,2323.335,46402,0,10,10.021011,2,4.9895163,2012
Colorado,8,-142,2387.7419,46402,0,6,7.0547924,3,28.349524,2012
Colorado,8,43,2343.937,46402,1,12,8.4657507,3,7.087380900000001,2012
Colorado,8,-84,1751.839,46402,0,8,8.818489999999999,3,28.349524,2012
Colorado,8,-117,2230.3601,46402,0,7,7.0547924,2,3.5436904,2012
Colorado,8,-72,1751.839,46402,0,8,9.876709,2,3.5436904,2012
Colorado,8,-89,2343.937,46402,0,8,9.018910400000001,2,4.9895163,2012
Colorado,8,-138,2339.0271,46402,0,6,16.931501,3,3.5436904,2012
Colorado,8,32,1751.839,46402,1,12,7.0547924,3,28.349524,2012
